candidate_id,rank,score,reasoning
CAND_0039754,1,1.0000,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0018499,2,0.9706,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0071974,3,0.9664,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0046064,4,0.9608,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0009691,5,0.9005,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0088025,6,0.8957,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0069905,7,0.8903,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0050876,8,0.8832,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0081686,9,0.8820,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0007412,10,0.8780,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0055992,11,0.8657,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0083307,12,0.8638,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0079387,13,0.8632,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0030953,14,0.8585,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0007009,15,0.8396,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0081846,16,0.8294,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0008425,17,0.8239,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0070398,18,0.8214,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0044883,19,0.8195,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0087630,20,0.8150,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0092278,21,0.8121,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0027801,22,0.8096,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0077337,23,0.8070,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0055905,24,0.8070,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0011687,25,0.7924,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0068811,26,0.7922,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0041669,27,0.7744,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0052682,28,0.7744,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0013613,29,0.7714,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0064326,30,0.7707,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0002025,31,0.7586,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0028793,32,0.7565,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0075249,33,0.7520,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0057563,34,0.7483,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0060054,35,0.7462,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0074735,36,0.7459,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0050454,37,0.7443,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0020877,38,0.7405,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0096172,39,0.7397,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0054123,40,0.7369,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0060072,41,0.7349,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0009024,42,0.7320,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0061339,43,0.7315,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0039383,44,0.7294,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0051292,45,0.7255,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0086022,46,0.7185,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0042506,47,0.7174,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0041568,48,0.7151,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0015528,49,0.7142,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0044855,50,0.7134,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0086151,51,0.7088,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0001610,52,0.7072,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0031593,53,0.7060,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0033861,54,0.7054,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0093547,55,0.6988,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0096142,56,0.6979,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0081053,57,0.6962,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0078002,58,0.6957,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0066376,59,0.6947,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0046525,60,0.6916,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0036184,61,0.6907,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0005649,62,0.6884,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0040887,63,0.6851,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0027691,64,0.6849,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0029367,65,0.6829,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0053591,66,0.6824,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0075439,67,0.6810,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0062247,68,0.6800,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0030348,69,0.6770,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0006557,70,0.6770,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0016163,71,0.6756,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0058575,72,0.6755,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0074225,73,0.6731,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0075574,74,0.6716,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0051630,75,0.6714,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0047521,76,0.6703,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0094056,77,0.6694,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0010685,78,0.6650,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0089552,79,0.6639,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0058688,80,0.6600,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0026532,81,0.6594,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0018722,82,0.6578,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0015578,83,0.6573,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0091909,84,0.6568,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0061655,85,0.6561,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0037566,86,0.6547,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0076163,87,0.6539,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0093331,88,0.6534,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0008978,89,0.6523,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0007411,90,0.6510,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0005260,91,0.6510,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0064904,92,0.6492,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0005538,93,0.6469,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0055139,94,0.6447,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0044222,95,0.6435,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0020708,96,0.6425,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0061175,97,0.6411,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0019480,98,0.6393,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0093883,99,0.6353,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
CAND_0048166,100,0.6301,"Strong match for Senior AI Engineer role with retrieval/ranking experience, relevant AI skills, and strong engagement signals."
